,Name,Team,Position,Height(inches),Weight(pounds),Age
328,Edwin_Jackson,TB,Starting_Pitcher,75,190.0,23.47
830,Johnny_Estrada,MLW,Catcher,71,209.0,30.67
703,Lastings_Milledge,NYM,Outfielder,72,187.0,21.9
727,Humberto_Quintero,HOU,Catcher,73,190.0,27.56
916,Shawn_Hill,WAS,Starting_Pitcher,74,185.0,25.84
741,Luke_Scott,HOU,Outfielder,72,210.0,28.68
987,Matt_Morris,SF,Starting_Pitcher,77,220.0,32.56
313,Mark_Lowe,SEA,Relief_Pitcher,75,190.0,23.73
726,Brad_Ausmus,HOU,Catcher,71,190.0,37.88
297,Ryan_Feierabend,SEA,Starting_Pitcher,75,190.0,21.52
774,Jason_Repko,LA,Outfielder,71,175.0,26.17
942,Jose_Bautista,PIT,Outfielder,72,192.0,26.36
464,Torii_Hunter,MIN,Outfielder,74,211.0,31.62
740,Orlando_Palmeiro,HOU,Outfielder,71,180.0,38.11
808,Pat_Burrell,PHI,Outfielder,76,223.0,30.39
490,Tony_Pe?a,ATL,Shortstop,73,180.0,25.94
301,Miguel_Batista,SEA,Starting_Pitcher,73,197.0,36.03
112,J.D._Drew,BOS,Outfielder,73,200.0,31.28
347,Jason_LaRue,KC,Catcher,71,200.0,32.95
760,Mike_Lieberthal,LA,Catcher,72,190.0,35.12
562,Orlando_Hudson,ARZ,Second_Baseman,72,185.0,29.22
705,Mike_Pelfrey,NYM,Starting_Pitcher,79,190.0,23.13
618,Chad_Moeller,CIN,Catcher,75,210.0,32.03
973,Kevin_Frandsen,SF,Second_Baseman,72,175.0,24.77
386,Mark_Teixeira,TEX,First_Baseman,75,220.0,26.89
583,Jorge_Julio,ARZ,Relief_Pitcher,73,232.0,27.99
589,Robert_Andino,FLA,Shortstop,72,170.0,22.85
922,Beltran_Perez,WAS,Relief_Pitcher,74,180.0,25.35
486,Craig_Wilson,ATL,First_Baseman,74,220.0,30.25
142,Joe_Inglett,CLE,Second_Baseman,70,180.0,28.67
417,Gregg_Zaun,TOR,Catcher,70,190.0,35.88
768,Rafael_Furcal,LA,Shortstop,70,165.0,29.35
363,Mike_Sweeney,KC,Designated_Hitter,75,225.0,33.61
470,Johan_Santana,MIN,Starting_Pitcher,72,206.0,27.97
467,Josh_Rabe,MIN,Designated_Hitter,74,210.0,28.38
450,Jeremy_Accardo,TOR,Relief_Pitcher,74,190.0,25.23
429,Vernon_Wells,TOR,Outfielder,73,225.0,28.23
272,Todd_Jones,DET,Relief_Pitcher,75,230.0,38.85
604,Dontrelle_Willis,FLA,Starting_Pitcher,76,239.0,25.13
137,Mike_Timlin,BOS,Relief_Pitcher,76,210.0,40.97
129,Hideki_Okajima,BOS,Relief_Pitcher,73,194.0,31.18
321,B.J._Upton,TB,Third_Baseman,75,180.0,22.52
425,Troy_Glaus,TOR,Third_Baseman,77,240.0,30.57
269,Chad_Durbin,DET,Relief_Pitcher,74,200.0,29.24
955,Tony_Armas_Jr.,PIT,Starting_Pitcher,75,225.0,28.84
1024,Jason_Isringhausen,STL,Relief_Pitcher,75,230.0,34.48
896,Ryan_Ketchner,SD,Relief_Pitcher,73,190.0,24.87
514,Manny_Acosta,ATL,Relief_Pitcher,76,170.0,25.83
878,Kevin_Kouzmanoff,SD,Designated_Hitter,73,200.0,25.6
900,Nick_Johnson,WAS,First_Baseman,75,224.0,28.45
936,Ryan_Doumit,PIT,First_Baseman,72,200.0,25.91
943,Xavier_Nady,PIT,Outfielder,74,205.0,28.29
651,David_Weathers,CIN,Relief_Pitcher,75,230.0,37.43
639,Aaron_Harang,CIN,Starting_Pitcher,79,240.0,28.81
902,Josh_Wilson,WAS,Shortstop,73,178.0,25.93
746,Matt_Albers,HOU,Starting_Pitcher,72,205.0,24.11
950,Josh_Shortslef,PIT,Starting_Pitcher,76,220.0,25.08
636,Kyle_Lohse,CIN,Starting_Pitcher,74,201.0,28.41
549,Neal_Cotts,CHC,Relief_Pitcher,74,200.0,26.93
844,Tony_Gwynn_Jr.,MLW,Outfielder,72,185.0,24.41
797,Ryan_Howard,PHI,First_Baseman,76,230.0,27.28
228,Andy_Pettitte,NYY,Starting_Pitcher,77,225.0,34.71
61,David_Aardsma,CWS,Relief_Pitcher,77,200.0,25.17
1032,Randy_Keisler,STL,Relief_Pitcher,75,190.0,31.01
571,Livan_Hernandez,ARZ,Starting_Pitcher,74,245.0,32.02
868,Todd_Walker,SD,Second_Baseman,72,185.0,33.77
678,Jeff_Francis,COL,Starting_Pitcher,77,200.0,26.14
44,Brian_N._Anderson,CWS,Outfielder,74,205.0,24.97
274,Jordan_Tata,DET,Relief_Pitcher,78,220.0,25.44
939,Jack_Wilson,PIT,Shortstop,72,192.0,29.17
716,Jon_Adkins,NYM,Relief_Pitcher,71,210.0,29.5
116,Eric_Hinske,BOS,Outfielder,74,235.0,29.57
949,Yoslan_Herrera,PIT,Starting_Pitcher,74,200.0,25.84
407,Francisco_Cruceta,TEX,Relief_Pitcher,74,180.0,25.66
74,Robb_Quinlan,ANA,First_Baseman,73,200.0,29.95
827,Fabio_Castro,PHI,Relief_Pitcher,68,150.0,22.11
570,Eric_Byrnes,ARZ,Outfielder,74,210.0,31.04
398,Robinson_Tejeda,TEX,Starting_Pitcher,75,188.0,24.94
893,Mike_Adams,SD,Relief_Pitcher,77,190.0,28.59
183,Mark_Kiger,OAK,Shortstop,71,180.0,26.75
485,Brian_McCann,ATL,Catcher,75,210.0,23.03
601,Anibal_Sanchez,FLA,Starting_Pitcher,72,180.0,23.01
734,Chris_Burke,HOU,Second_Baseman,71,180.0,26.97
918,Mike_O'Connor,WAS,Starting_Pitcher,75,170.0,26.54
658,Kaz_Matsui,COL,Second_Baseman,70,185.0,31.35
695,Jose_Reyes,NYM,Shortstop,72,160.0,23.72
913,Billy_Traber,WAS,Starting_Pitcher,77,205.0,27.45
39,Juan_Uribe,CWS,Shortstop,71,175.0,27.61
553,Ryan_Dempster,CHC,Relief_Pitcher,74,215.0,29.83
770,Andy_LaRoche,LA,Third_Baseman,71,185.0,23.46
164,Fernando_Cabrera,CLE,Relief_Pitcher,76,170.0,25.29
346,Scott_Dohmann,TB,Relief_Pitcher,73,181.0,29.04
324,Greg_Norton,TB,Outfielder,73,200.0,34.65
438,Tomo_Ohka,TOR,Starting_Pitcher,73,200.0,30.95
851,Ben_Hendrickson,MLW,Starting_Pitcher,76,190.0,26.07
540,Ryan_O'Malley,CHC,Starting_Pitcher,73,190.0,26.89
850,Chris_Capuano,MLW,Starting_Pitcher,75,210.0,28.53
329,Scott_Kazmir,TB,Starting_Pitcher,72,170.0,23.1
888,Trevor_Hoffman,SD,Relief_Pitcher,72,215.0,39.38
337,Juan_Salas,TB,Relief_Pitcher,74,190.0,28.31
866,Adrian_Gonzalez,SD,First_Baseman,74,220.0,24.81
150,Grady_Sizemore,CLE,Outfielder,74,200.0,24.58
283,Ben_Broussard,SEA,First_Baseman,74,220.0,30.43
84,Garret_Anderson,ANA,Outfielder,75,225.0,34.67
36,Toby_Hall,CWS,Catcher,75,240.0,31.36
459,Luis_Rodriguez,MIN,Third_Baseman,69,180.0,26.67
648,Mike_Stanton,CIN,Relief_Pitcher,73,215.0,39.75
270,Jason_Grilli,DET,Relief_Pitcher,77,210.0,30.3
532,Daryle_Ward,CHC,Outfielder,74,230.0,31.68
821,Antonio_Alfonseca,PHI,Relief_Pitcher,77,250.0,34.87
229,Darrell_Rasner,NYY,Starting_Pitcher,75,210.0,26.13
168,Aaron_Fultz,CLE,Relief_Pitcher,72,205.0,33.49
290,Jose_Guillen,SEA,Outfielder,71,190.0,30.79
18,Hayden_Penn,BAL,Starting_Pitcher,75,185.0,22.38
613,Taylor_Tankersley,FLA,Relief_Pitcher,73,220.0,23.98
